"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"54","Michael DiPietro","BOS","1","5.3666666666667","1","1","0","1.000","0.00","0.10","0.09","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.12","0","0","0","-","0.00","0.00","0","0","28.00","-"
"87","Arsenii Sergeev","CGY","1","48.85","26","25","1","0.962","1.23","1.47","3.37","9","8","1","0.889","1.23","0.63","8","8","0","1.000","0.00","0.99","7","7","0","1.000","0.00","0.25","1","7","33.85","6.00"
"18","Matt Murray","SEA","5","173.73333333333","82","78","4","0.951","1.38","3.80","7.97","23","21","2","0.913","0.69","2.16","16","14","2","0.875","0.69","-0.02","40","40","0","1.000","0.00","1.44","5","19","37.20","17.75"
"77","Dylan Garand","NYR","3","150.45","71","67","4","0.944","1.60","2.75","7.02","14","11","3","0.786","1.20","-0.47","21","20","1","0.952","0.40","1.59","32","32","0","1.000","0.00","1.16","1","10","39.10","12.00"
"68","Trent Miner","COL","4","181.38333333333","80","75","5","0.938","1.65","2.61","7.27","11","11","0","1.000","0.00","1.99","22","19","3","0.864","0.99","-0.28","42","40","2","0.952","0.66","-0.48","2","16","38.08","27.40"
"98","Victor Ostman","SEA","1","43.533333333333","29","27","2","0.931","2.76","0.76","2.48","3","3","0","1.000","0.00","0.54","9","8","1","0.889","1.38","0.11","15","14","1","0.933","1.38","-0.46","0","3","39.17","13.00"
"9","Scott Wedgewood","COL","45","2005.7","838","777","61","0.927","1.82","18.71","80.98","219","186","33","0.849","0.99","6.61","173","161","12","0.931","0.36","9.36","395","379","16","0.959","0.48","-1.74","44","172","36.70","18.84"
"14","Anton Forsberg","L.A","36","1663.25","743","688","55","0.926","1.98","15.67","70.86","172","150","22","0.872","0.79","9.11","184","163","21","0.886","0.76","1.72","347","335","12","0.965","0.43","0.53","30","152","36.25","20.82"
"37","Igor Shesterkin","NYR","51","2482.2","1093","1012","81","0.926","1.96","22.96","102.79","254","217","37","0.854","0.89","8.94","304","278","26","0.914","0.63","11.54","477","459","18","0.962","0.44","-0.78","41","223","37.24","21.86"
"39","Dan Vladar","PHI","52","2394.9","978","906","72","0.926","1.80","21.02","95.66","227","193","34","0.850","0.85","7.05","238","209","29","0.878","0.73","0.39","464","455","9","0.981","0.23","7.76","47","210","36.90","22.10"
"10","Philipp Grubauer","SEA","32","1479.9666666667","696","644","52","0.925","2.11","14.20","70.09","187","156","31","0.834","1.26","2.82","163","149","14","0.914","0.57","6.13","319","312","7","0.978","0.28","4.52","26","161","34.64","19.04"
"59","Jeremy Swayman","BOS","55","2547.5833333333","1137","1051","86","0.924","2.03","22.14","125.2","319","278","41","0.871","0.97","16.69","280","260","20","0.929","0.47","14.57","494","469","25","0.949","0.59","-7.16","47","281","34.09","23.03"
"60","Logan Thompson","WSH","58","2758.15","1224","1130","94","0.923","2.04","22.42","132.72","349","293","56","0.840","1.22","7.12","292","269","23","0.921","0.50","13.05","525","510","15","0.971","0.33","3.96","49","274","34.69","18.99"
"45","Casey DeSmith","DAL","30","1401.1","582","536","46","0.921","1.97","9.36","59.81","147","124","23","0.844","0.98","3.59","144","127","17","0.882","0.73","0.78","273","267","6","0.978","0.26","3.86","22","120","35.16","19.85"
"83","Jesper Wallstedt","MIN","35","1620.3166666667","801","737","64","0.920","2.37","12.19","71.75","187","155","32","0.829","1.18","1.82","224","200","24","0.893","0.89","3.66","355","347","8","0.977","0.30","4.82","30","134","35.98","20.34"
"88","Jet Greaves","CBJ","55","2659.25","1191","1094","97","0.919","2.19","16.28","111.46","281","241","40","0.858","0.90","10.82","302","269","33","0.891","0.74","4.29","551","528","23","0.958","0.52","-3.10","34","220","37.49","24.57"
"64","Justus Annunen","NSH","28","1189.6333333333","550","505","45","0.918","2.27","7.31","55.2","144","120","24","0.833","1.21","2.04","143","129","14","0.902","0.71","3.66","239","232","7","0.971","0.35","1.63","10","89","34.87","20.69"
"90","Clay Stevenson","WSH","4","198.86666666667","83","76","7","0.916","2.11","0.89","9.71","24","20","4","0.833","1.21","0.34","19","18","1","0.947","0.30","1.35","37","35","2","0.946","0.60","-0.66","2","20","35.84","25.71"
"35","Ilya Sorokin","NYI","55","2605.0333333333","1186","1085","101","0.915","2.33","11.81","129.14","365","317","48","0.868","1.11","18.01","302","265","37","0.877","0.85","0.29","463","447","16","0.965","0.37","0.72","38","259","33.30","18.79"
"47","Alex Lyon","BUF","36","1606.1333333333","751","687","64","0.915","2.39","7.43","74.85","198","160","38","0.808","1.42","-2.19","197","177","20","0.898","0.75","4.32","320","314","6","0.981","0.22","5.56","26","151","34.83","18.09"
"63","Joel Hofer","STL","46","2121.4333333333","962","880","82","0.915","2.32","9.50","90.39","235","187","48","0.796","1.36","-5.50","229","207","22","0.904","0.62","6.28","453","441","12","0.974","0.34","4.36","28","179","37.52","19.94"
"38","Mackenzie Blackwood","COL","38","1751.35","724","662","62","0.914","2.12","6.86","74.68","199","162","37","0.814","1.27","-1.01","183","167","16","0.913","0.55","6.60","307","298","9","0.971","0.31","2.09","28","164","34.45","17.34"
"50","Filip Gustavsson","MIN","50","2397.05","1092","998","94","0.914","2.35","9.86","105.15","292","238","54","0.815","1.35","-1.19","270","248","22","0.919","0.55","11.34","474","456","18","0.962","0.45","-0.88","41","215","34.97","19.26"
"81","Jakub Dobes","MTL","43","2020.3166666667","905","827","78","0.914","2.32","8.08","100.35","250","208","42","0.832","1.25","3.21","218","190","28","0.872","0.83","-1.08","394","386","8","0.980","0.24","6.23","45","223","36.20","19.19"
"16","John Gibson","DET","57","2584.3166666667","1143","1043","100","0.913","2.32","8.72","118.26","291","243","48","0.835","1.11","4.63","302","269","33","0.891","0.77","4.29","503","484","19","0.962","0.44","-0.84","42","238","34.87","22.75"
"53","Jake Oettinger","DAL","54","2551.1833333333","1053","961","92","0.913","2.16","8.15","103.53","271","225","46","0.830","1.08","3.01","251","219","32","0.873","0.75","-1.01","474","460","14","0.970","0.33","3.12","40","200","37.30","21.17"
"55","Ukko-Pekka Luukkonen","BUF","36","1666.4833333333","702","641","61","0.913","2.20","5.77","68.14","175","144","31","0.823","1.12","0.65","183","162","21","0.885","0.76","1.60","298","289","9","0.970","0.32","1.76","33","135","38.12","21.07"
"70","Colten Ellis","BUF","16","729.7","357","326","31","0.913","2.55","2.96","35.63","99","83","16","0.838","1.32","1.90","83","75","8","0.904","0.66","2.25","154","147","7","0.955","0.58","-1.44","11","76","35.75","17.52"
"94","Dennis Hildeby","TOR","20","820.75","425","388","37","0.913","2.70","3.42","43.56","123","102","21","0.829","1.54","1.25","103","96","7","0.932","0.51","5.72","184","175","9","0.951","0.66","-2.36","13","93","33.98","21.00"
"17","Andrei Vasilevskiy","T.B","58","2717.1","1122","1023","99","0.912","2.19","7.72","111.07","307","257","50","0.837","1.10","5.52","294","265","29","0.901","0.64","7.30","463","443","20","0.957","0.44","-3.28","49","210","36.28","20.88"
"5","Darcy Kuemper","L.A","50","2312.3333333333","928","845","83","0.911","2.15","5.27","90.53","247","209","38","0.846","0.99","6.67","236","210","26","0.890","0.67","3.14","393","374","19","0.952","0.49","-4.81","43","189","35.15","20.76"
"43","Joey Daccord","SEA","47","2220.8833333333","1058","964","94","0.911","2.54","6.63","103.07","239","194","45","0.812","1.22","-1.77","254","229","25","0.902","0.68","6.36","515","491","24","0.953","0.65","-5.40","28","220","36.38","20.28"
"96","Jacob Fowler","MTL","17","798.41666666667","327","298","29","0.911","2.18","2.10","33.77","83","65","18","0.783","1.35","-2.99","96","87","9","0.906","0.68","2.85","131","129","2","0.985","0.15","2.73","12","75","35.80","16.59"
"28","Pheonix Copley","L.A","1","50.483333333333","22","20","2","0.909","2.38","0.09","1.58","6","6","0","1.000","0.00","1.09","3","3","0","1.000","0.00","0.37","12","10","2","0.833","2.38","-1.57","0","2","36.55","33.00"
"67","Spencer Knight","CHI","55","2665.6666666667","1272","1156","116","0.909","2.61","4.98","127.87","357","305","52","0.854","1.17","12.57","322","277","45","0.860","1.01","-5.24","518","499","19","0.963","0.43","-0.29","33","260","34.90","20.08"
"79","Devin Cooley","CGY","31","1374.9166666667","651","592","59","0.909","2.57","2.92","70.44","195","167","28","0.856","1.22","7.27","169","145","24","0.858","1.05","-3.13","242","235","7","0.971","0.31","1.74","19","156","35.01","21.32"
"29","Thatcher Demko","VAN","20","887.08333333333","401","364","37","0.908","2.50","1.14","39.07","110","89","21","0.809","1.42","-1.11","98","88","10","0.898","0.68","2.10","184","178","6","0.967","0.41","0.64","10","67","32.29","18.78"
