"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Vancouver Canucks","82","4021.3833","25","49","8","19","58","0.354","3370.46","4111.09","45.05","2479","3034.91","44.96","1553.61","1969.53","44.10","130.15","211.5","38.09","157.72","199.77","44.12","1577.14","2013.13","43.93","791.1","1063.88","42.65","113.63","178.88","38.85","14.36","83.19","692.09","889.46","43.76","414.42","575.92","41.85","68.33","106.19","39.15","16.49","81.56","879.56","1127.25","43.83","376.02","489.06","43.47","45.1","72.99","38.19","11.99","85.07","2017.66","2344.13","46.26","676.37","828.27","44.95","16.58","32.59","33.72","2.45","96.07","8.38","89.26","0.976"
"2","Calgary Flames","82","3972.4833","34","39","9","30","77","0.470","3803.31","3972.5","48.91","2693.29","2844.47","48.63","1813.2","1877.01","49.14","141.92","175.04","44.78","166.34","187.86","46.96","1693.89","1941.93","46.59","890.44","1002.45","47.04","113.38","152.11","42.70","12.73","84.83","714.46","815.77","46.69","444.69","516.25","46.28","71.11","87.76","44.76","15.99","83.00","977.51","1126.57","46.46","446.05","486.67","47.82","42.63","64.56","39.77","9.56","86.73","2286.78","2233.33","50.59","800.91","755.6","51.46","28.26","22.55","55.62","3.53","97.02","7.83","90.67","0.985"
"3","Pittsburgh Penguins","82","4010.9833","41","25","16","38","98","0.598","3909.44","3764.18","50.95","2843.18","2709.7","51.20","1823.52","1720.09","51.46","202.11","172.32","53.98","196.33","179.34","52.26","1957.96","1848.17","51.44","1036.71","945.88","52.29","168.99","141.9","54.36","16.30","85.00","876.62","783.9","52.79","553.44","466.72","54.25","103.98","83.55","55.45","18.79","82.10","1084.6","1060.13","50.57","483.54","478.82","50.25","65.24","58.67","52.65","13.49","87.75","2138.88","2162.92","49.72","694.41","703.15","49.69","32.91","30.6","51.82","4.74","95.65","11.08","89.98","1.011"
"4","Detroit Red Wings","82","4001.1833","41","31","10","39","92","0.561","3707.37","3936.61","48.50","2703.29","2767.27","49.42","1734.69","1775.62","49.42","141.53","169.53","45.50","172.82","179.63","49.03","1651.75","1905.23","46.44","866.5","931.42","48.19","117.36","144.46","44.82","13.54","84.49","717.25","784.69","47.75","452.74","467.74","49.19","72.32","90","44.56","15.97","80.76","933.49","1121.59","45.42","413.95","464.29","47.13","44.98","54.07","45.41","10.87","88.35","2230.79","2288.5","49.36","778.1","768.96","50.30","23.99","24.76","49.21","3.08","96.78","8.16","90.45","0.986"
"5","New Jersey Devils","82","4088.3","42","37","3","38","87","0.530","3931.75","3816.86","50.74","2851.34","2769.33","50.73","1857.2","1814.68","50.58","135.85","183.55","42.53","177.99","182.29","49.40","1815.59","1832.85","49.76","960.02","968.12","49.79","115.75","156.33","42.54","12.06","83.85","735.43","776.03","48.66","458.22","492.25","48.21","63.44","94.94","40.06","13.85","80.71","1076.19","1057.92","50.43","501.03","475.47","51.31","52.84","61.11","46.37","10.55","87.15","2340.86","2186.32","51.71","804.25","755.41","51.57","20.09","26.95","42.70","2.50","96.43","7.32","89.89","0.972"
"6","Chicago Blackhawks","82","4006.8333","29","39","14","26","72","0.439","3292.01","4000.12","45.14","2445.37","3027.4","44.68","1562.86","1984.39","44.06","150.61","197.96","43.21","145.98","201.13","42.06","1523.95","2015.28","43.06","807.37","1087.08","42.62","134.85","171.18","44.06","16.70","84.25","609.92","908.92","40.16","379.92","587.25","39.28","85.44","102.93","45.36","22.49","82.47","912.06","1108.22","45.15","427.43","499.72","46.10","49.3","68.02","42.02","11.53","86.39","1920.85","2263.82","45.90","671.19","792.38","45.86","15.84","26.31","37.58","2.36","96.68","9.64","90.02","0.997"
"7","New York Islanders","82","3950.1833","43","34","5","39","91","0.555","3654.9","3861.57","48.63","2668.57","2781.51","48.96","1731.94","1757.85","49.63","144.28","159.85","47.44","173.91","193.09","47.39","1715.23","1887.64","47.61","891.04","976","47.72","121.31","140.83","46.28","13.61","85.57","706.59","860.59","45.09","434.66","526.36","45.23","63.43","79.17","44.48","14.59","84.96","1005.36","1027.51","49.46","456.18","450.19","50.33","57.86","61.51","48.47","12.68","86.34","2194.94","2117.23","50.90","768.05","698.21","52.38","22.7","18.71","54.82","2.96","97.32","8.33","90.91","0.992"
"8","Nashville Predators","82","3946.15","38","34","10","33","86","0.524","3709.06","3806.88","49.35","2634.82","2885.26","47.73","1694.75","1906.63","47.06","149.97","180.47","45.38","176.02","181.35","49.25","1749.36","1753.97","49.93","903.01","977.53","48.02","124.48","148.74","45.56","13.79","84.78","770.46","738.14","51.07","474.91","489.55","49.24","83.16","98.27","45.84","17.51","79.93","974.82","1017.24","48.94","427.47","487.38","46.73","41.22","49.97","45.20","9.64","89.75","2159.25","2351","47.87","718.88","848.97","45.85","25.22","32.13","43.98","3.51","96.22","8.85","90.53","0.994"
"9","Toronto Maple Leafs","82","4029.6667","32","36","14","31","78","0.476","3393.75","4309.46","44.06","2533.78","3169.8","44.42","1633.47","2076.04","44.03","169.32","206.02","45.11","158.95","192.73","45.20","1624.28","2013.32","44.65","853.45","1049.49","44.85","141.43","171.95","45.13","16.57","83.62","694.01","825.59","45.67","445.67","515.49","46.37","90.38","89.65","50.20","20.28","82.61","927.05","1191.05","43.77","407.56","533.32","43.32","51.16","81.73","38.50","12.55","84.68","2013.57","2540.63","44.21","671.16","945.01","41.53","27.44","33.88","44.74","4.09","96.41","10.37","90.08","1.004"
"10","Utah Mammoth","82","3981.1","43","33","6","43","92","0.561","3999.57","3486.77","53.42","2840.24","2508.12","53.10","1798.3","1626.7","52.51","185.35","162.4","53.30","186.98","166.6","52.88","1850.78","1678.53","52.44","950.73","842.28","53.02","145.2","140.77","50.77","15.27","83.29","814.12","721.18","53.03","506.57","435.01","53.80","85.44","86.65","49.65","16.87","80.08","1036.12","954.98","52.04","444.04","407.03","52.17","59.96","53.92","52.65","13.50","86.75","2324.98","2017.18","53.54","764.65","683.83","52.79","39.72","21.06","65.35","5.19","96.92","10.31","90.02","1.003"
